,inputs,outputs,intention
103,"[0, 0, 0.2222222222222222, 1, 0, 0.06896551724137931, 0, 1, 0.18181818181818182, 0, 0, 0.0392156862745098, 0, 0, 0.2222222222222222, 0, 0, 0.2222222222222222, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",munch
104,"[0, 0, 0.13333333333333333, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.044444444444444446, 0, 0, 0.13333333333333333, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
105,"[0, 0, 0.03773584905660377, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.2857142857142857]","[1, 0, 0, 0]",wall move
106,"[1, 0, 0.03389830508474576, 0, 0, 0.6666666666666666, 0, 0, 0.05405405405405406, 0, 0, 2.0, 0, 0, 0.6666666666666666, 1, 0, 0.05405405405405406, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 1, 0]",wall move
107,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
108,"[0, 0, 0.18181818181818182, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.04081632653061224, 0, 0, 2.0, 0, 0, 0.18181818181818182, 0, 0, 2.0, 1, 0, 0.05128205128205128]","[0, 1, 0, 0]",wall move
109,"[0, 0, 0.03636363636363636, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.4, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.4]","[0, 1, 0, 0]",wall move
110,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
111,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
112,"[0, 0, 2.0, 0, 0, 0.07407407407407407, 0, 0, 0.15384615384615385, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.07407407407407407, 1, 0, 0.15384615384615385]","[0, 0, 1, 0]",wall move
113,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
114,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
115,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
116,"[1, 0, 0.03508771929824561, 0, 1, 0.08, 0, 0, 0.13333333333333333, 0, 0, 0.6666666666666666, 0, 0, 0.08, 0, 0, 0.13333333333333333, 0, 0, 0.6666666666666666, 0, 0, 0.6666666666666666]","[0, 0, 0, 1]",food move
117,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
118,"[1, 0, 0.03389830508474576, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 2.0, 0, 0, 0.09523809523809523, 1, 0, 0.10526315789473684, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
119,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
120,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
121,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
122,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
123,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
124,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
125,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
126,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
127,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
128,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
129,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
130,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
131,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
132,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
133,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
134,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
135,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
136,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
137,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
138,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
139,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
140,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
141,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
142,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
143,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
144,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
145,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
146,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
147,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
148,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
149,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
150,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
151,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
152,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
153,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
154,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
155,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
156,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
157,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
158,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
159,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
160,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
161,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
162,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
163,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
164,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
165,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
166,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
167,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
168,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
169,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
170,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
171,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
172,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
173,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
174,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
175,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
176,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
177,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
178,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
179,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
180,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
181,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
182,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
183,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
184,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
185,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
186,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
187,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
188,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
189,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
190,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
191,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
192,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
193,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
194,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
195,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
196,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
197,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
198,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
199,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
200,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
201,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
202,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
203,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
204,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
205,"[1, 0, 0.03389830508474576, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
206,"[0, 0, 0.06896551724137931, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806]","[1, 0, 0, 0]",wall move
