450,123.5
495,139.7
395,148.1
575,157.4
955,149.4
700,162.8
580,159.0
515,141.4
620,170.6
625,208.2
805,279.9
775,282.9
980,273.8
690,259.6
905,254.7
855,299.8
795,281.0
1055,205.0
685,222.7
740,209.4
655,223.8
815,234.3
725,182.9
1000,273.1
720,288.5
750,264.0
615,217.0
790,282.4
750,284.9
700,220.9
965,196.0
970,245.6
755,227.0
775,284.5
850,251.4
730,241.7
780,301.4
840,235.4
925,225.7
760,257.2
660,237.5
895,261.9
970,193.7
545,184.0
735,236.7
785,274.6
1010,297.1
775,297.6
1110,292.0
800,241.2
