345,104.9
295,124.0
295,129.3
435,135.0
635,161.8
450,135.6
500,153.6
320,143.1
720,141.0
520,165.2
540,160.4
865,157.4
705,207.3
775,186.3
535,228.3
1290,256.6
975,205.8
965,263.7
790,209.5
1305,280.4
595,256.8
1375,311.0
2415,310.7
945,274.3
1225,286.1
940,271.9
855,266.9
980,274.3
1345,263.1
1360,262.6
1040,276.5
1455,302.1
1160,248.0
1265,276.3
1010,286.9
1260,290.7
1060,313.4
960,296.2
2180,329.6
3685,429.0
2120,327.9
1765,435.8
920,248.8
1495,340.8
1720,336.6
1355,313.4
1650,269.7
2035,410.3
2240,414.8
2495,346.5
